# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
4.100000000000000311e-01,-5.282768770979447970e-01,-8.657356063250489786e-01,5.259232673848923234e+00,-3.273288866775684092e+00
4.199999999999999845e-01,-4.747189103036160707e-01,-8.968110625617683462e-01,5.448937604799264811e+00,-2.939929819337090855e+00
4.299999999999999933e-01,-4.193676262759238882e-01,-9.244988102251192608e-01,5.617798256381960620e+00,-2.595956212207596980e+00
4.400000000000000022e-01,-3.624342846929010098e-01,-9.486990217998824138e-01,5.765263292583205690e+00,-2.242635926947178504e+00
4.500000000000000111e-01,-3.041352963510559060e-01,-9.693246705799483109e-01,5.890853909931516696e+00,-1.881260645075426563e+00
4.600000000000000200e-01,-2.446914954883814830e-01,-9.863017508239417808e-01,5.994164290740796375e+00,-1.513142291500991110e+00
4.700000000000000289e-01,-1.843274080636060630e-01,-9.995694626986478815e-01,6.074861960909093916e+00,-1.139609547263600753e+00
4.799999999999999822e-01,-1.232705168808774510e-01,-1.009080362659128038e+00,6.132688064971770991e+00,-7.620044224950432987e-01
4.899999999999999911e-01,-6.175052433281678216e-02,-1.014800479816537981e+00,6.167457568944277213e+00,-3.816788791620608912e-01
5.000000000000000000e-01,1.386559274313414747e-06,-1.016709398734698455e+00,6.179059399237091021e+00,8.507918385414203755e-06
5.100000000000000089e-01,6.175329220054322915e-02,-1.014800308977139354e+00,6.167456523605466145e+00,3.816958641037819788e-01
5.200000000000000178e-01,1.232732690133663545e-01,-1.009080021600316845e+00,6.132685977729940952e+00,7.620213148372603218e-01
5.300000000000000266e-01,1.843301340280967260e-01,-9.995689526586833962e-01,6.074858838629293878e+00,1.139626285558783758e+00
5.400000000000000355e-01,2.446941849380963319e-01,-9.863010736559312264e-01,5.994160143704235999e+00,1.513158814729782975e+00
5.500000000000000444e-01,3.041379390593663690e-01,-9.693238287467087488e-01,5.890848751815842554e+00,1.881276892817829838e+00
5.600000000000000533e-01,3.624368705872647034e-01,-9.486980183670908895e-01,5.765257140436042427e+00,2.242651839553642112e+00
5.700000000000000622e-01,4.193701454715256793e-01,-9.244976488527518743e-01,5.617791130587603377e+00,2.595971730969942382e+00
5.799999999999999600e-01,4.747213531366441530e-01,-8.968097474938303559e-01,5.448929529038356812e+00,2.939944886659204393e+00
5.899999999999999689e-01,5.282792341584314766e-01,-8.657341423775970490e-01,5.259223675050941793e+00,3.273303426343868061e+00
5.999999999999999778e-01,5.798384028702071591e-01,-8.313832062869499495e-01,5.049296876939128431e+00,3.594806903237544482e+00
6.099999999999999867e-01,6.292000637149208764e-01,-7.938815638571816713e-01,4.819843721771047029e+00,3.903246019789313515e+00
6.199999999999999956e-01,6.761727199840351643e-01,-7.533657611480992777e-01,4.571629239817271539e+00,4.197446429247432498e+00
6.300000000000000044e-01,7.205728733920879758e-01,-7.099838967661001865e-01,4.305487903798918659e+00,4.476272624057838101e+00
6.400000000000000133e-01,7.622257127296473422e-01,-6.638952136738363041e-01,4.022322441681800420e+00,4.738631909434072753e+00
6.500000000000000222e-01,8.009657896193963511e-01,-6.152696508561601441e-01,3.723102440723341733e+00,4.983478457509891157e+00
6.600000000000000311e-01,8.366376791732241802e-01,-5.642873540725305004e-01,3.408862719747912440e+00,5.209817434329702124e+00
