# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
1.969999999999999973e+00,2.697374417431354088e-01,9.475410106541944932e-01,-6.145463626227076759e+00,1.719898071350017599e+00
1.979999999999999982e+00,2.077259843044673149e-01,9.627839748175724965e-01,-6.243909369185891123e+00,1.326220634585513869e+00
1.989999999999999991e+00,1.448577557968232787e-01,9.740571949272684993e-01,-6.316667647255216345e+00,9.268228501738040581e-01
2.000000000000000000e+00,8.139166844416606539e-02,9.813121151294158517e-01,-6.363394146065376233e+00,5.234439958951866423e-01
2.010000000000000231e+00,1.758945102306172514e-02,9.845177081334920421e-01,-6.383870569608644630e+00,1.178453944097677675e-01
2.020000000000000018e+00,-4.628562134218175417e-02,9.836606448960708571e-01,-6.378006162656087774e+00,-2.881997933941094492e-01
2.030000000000000249e+00,-1.099700078139398268e-01,9.787453614245303912e-01,-6.345838270511451107e+00,-6.929168839607173780e-01
2.040000000000000036e+00,-1.732011832111437222e-01,9.697940221484572243e-01,-6.287531929605592040e+00,-1.094539988109114903e+00
2.049999999999999822e+00,-2.357189104256403045e-01,9.568463803852126359e-01,-6.203378496387203178e+00,-1.491322222271513898e+00
2.060000000000000053e+00,-2.972664943405924909e-01,9.399595374930382885e-01,-6.093793335716220838e+00,-1.881545708833946007e+00
2.069999999999999840e+00,-3.575920079866243273e-01,9.192076033398931534e-01,-5.959312603183964718e+00,-2.263531264656811093e+00
2.080000000000000071e+00,-4.164494820802444597e-01,8.946812616996110412e-01,-5.800589168156814246e+00,-2.635647682878527576e+00
2.089999999999999858e+00,-4.736000496166398732e-01,8.664872451011933485e-01,-5.618387735586517273e+00,-2.996320520806566190e+00
2.100000000000000089e+00,-5.288130378226254535e-01,8.347477244863646950e-01,-5.413579234508096860e+00,-3.344040315852821355e+00
2.109999999999999876e+00,-5.818670005005793788e-01,7.995996197616375145e-01,-5.187134549460722610e+00,-3.677370161814781824e+00
2.120000000000000107e+00,-6.325506845940991330e-01,7.611938379535181376e-01,-4.940117677675139873e+00,-3.994952589055011050e+00
2.129999999999999893e+00,-6.806639256632400770e-01,7.196944461815604210e-01,-4.673678399685367246e+00,-4.295515703989080336e+00
2.140000000000000124e+00,-7.260184678533048164e-01,6.752777870491991630e-01,-4.389044554010037125e+00,-4.577878555452898013e+00
2.149999999999999911e+00,-7.684387048579504054e-01,6.281315443151602729e-01,-4.087514007730965737e+00,-4.840955707687910170e+00
2.160000000000000142e+00,-8.077623392970560978e-01,5.784537668501384955e-01,-3.770446414244055244e+00,-5.083761011577165867e+00
2.169999999999999929e+00,-8.438409588354750523e-01,5.264518589084398181e-01,-3.439254847285003525e+00,-5.305410577132065875e+00
2.180000000000000160e+00,-8.765405282449576507e-01,4.723415446588855038e-01,-3.095397396691294212e+00,-5.505124960845626525e+00
2.189999999999999947e+00,-9.057417974443427999e-01,4.163458147320089897e-01,-2.740368806433255866e+00,-5.682230591206971937e+00
2.200000000000000178e+00,-9.313406263306654997e-01,3.586938622616537287e-01,-2.375692229432337488e+00,-5.836160464266705539e+00
2.209999999999999964e+00,-9.532482279263174707e-01,2.996200155399738607e-01,-2.002911166798261089e+00,-5.966454148548037573e+00
2.220000000000000195e+00,-9.713913320072024016e-01,2.393626739778712542e-01,-1.623581651577064022e+00,-6.072757144748758940e+00
2.229999999999999982e+00,-9.857122719385146281e-01,1.781632535808501394e-01,-1.239264729125021169e+00,-6.154819650547582732e+00
2.240000000000000213e+00,-9.961689979250381022e-01,1.162651476259887462e-01,-8.515192780156491947e-01,-6.212494784423805427e+00
2.250000000000000000e+00,-1.002735020280404843e+00,5.391270767181912532e-02,-4.618952071403337190e-01,-6.245736324761659297e+00
2.260000000000000231e+00,-1.005399286635105138e+00,-8.649750538577784253e-03,-7.192705655076514493e-02,-6.254596021706867681e+00
2.270000000000000018e+00,-1.004165997238359864e+00,-7.117891229874520609e-02,3.168719782353448533e-01,-6.239220539360874618e+00
2.280000000000000249e+00,-9.990543626678123346e-01,-1.334333968755834765e-01,7.030155861571258935e-01,-6.199848085042465762e+00
2.290000000000000036e+00,-9.900983083480825453e-01,-1.951746553135827456e-01,1.085049439350409317e+00,-6.136804780632620471e+00
2.300000000000000266e+00,-9.773461303001701461e-01,-2.561678307980039815e-01,1.461555851593592248e+00,-6.050500828568418754e+00
2.310000000000000053e+00,-9.608601065048029133e-01,-3.161825797800904558e-01,1.831158002997082868e+00,-5.941426521989799703e+00
2.319999999999999840e+00,-9.407160681708336414e-01,-3.749938525456495420e-01,2.192523742435923850e+00,-5.810148144991249985e+00
2.330000000000000071e+00,-9.170029350616862862e-01,-4.323826323489407542e-01,2.544368983485568947e+00,-5.657303805006760555e+00
2.339999999999999858e+00,-8.898222188556825785e-01,-4.881366326335883632e-01,2.885460713181362991e+00,-5.483599235170762753e+00
2.350000000000000089e+00,-8.592874983067939620e-01,-5.420509522191245821e-01,3.214619635799264241e+00,-5.289803600151431695e+00
2.359999999999999876e+00,-8.255238697376779955e-01,-5.939286886446333291e-01,3.530722476076673999e+00,-5.076745334536257204e+00
2.370000000000000107e+00,-7.886673761431679530e-01,-6.435815101295319085e-01,3.832703967894889097e+00,-4.845308038442614595e+00
2.379999999999999893e+00,-7.488644179156624947e-01,-6.908301868362588527e-01,4.119558555472289996e+00,-4.596426450696318611e+00
2.390000000000000124e+00,-7.062711479296365225e-01,-7.355050823016234807e-01,4.390341834617977668e+00,-4.331082515725552362e+00
2.399999999999999911e+00,-6.610528534457732475e-01,-7.774466060444034099e-01,4.644171761619468874e+00,-4.050301556302294159e+00
2.410000000000000142e+00,-6.133833270205220067e-01,-8.165056284584719659e-01,4.880229656936375449e+00,-3.755148560464449670e+00
2.419999999999999929e+00,-5.634442283382098404e-01,-8.525438591656046006e-01,5.097761030094821066e+00,-3.446724587396441830e+00
2.430000000000000160e+00,-5.114244386236841411e-01,-8.854341900327105108e-01,5.296076251073053243e+00,-3.126163293753053019e+00
2.439999999999999947e+00,-4.575194090468798214e-01,-9.150610040572582093e-01,5.474551092082611703e+00,-2.794627578893107867e+00
2.450000000000000178e+00,-4.019305042992767363e-01,-9.413204512949067126e-01,5.632627162023474021e+00,-2.453306344752647306e+00
2.459999999999999964e+00,-3.448643423081481085e-01,-9.641206929476484611e-01,5.769812254063882762e+00,-2.103411363633569398e+00
2.470000000000000195e+00,-2.865321308596288086e-01,-9.833821146519494683e-01,5.885680624800039062e+00,-1.746174245011782311e+00
2.479999999999999982e+00,-2.271490017274757911e-01,-9.990375099072346110e-01,5.979873221317487442e+00,-1.382843490574809042e+00
2.490000000000000213e+00,-1.669333427521874358e-01,-1.011032234468372648e+00,6.052097870230801924e+00,-1.014681625076990334e+00
2.500000000000000000e+00,-1.061061281858949601e-01,-1.019324332394246913e+00,6.102129440443527564e+00,-6.429623892448131928e-01
2.510000000000000231e+00,-4.489024751292539084e-02,-1.023884634300699092e+00,6.129809988965343237e+00,-2.689679798692403145e-01
2.520000000000000018e+00,1.649016712522043820e-02,-1.024696828212653621e+00,6.135048896664432760e+00,1.060136786192749647e-01
2.530000000000000249e+00,7.781041482806581866e-02,-1.021757503249615340e+00,6.117822998334237816e+00,4.806916473885963770e-01
2.540000000000000036e+00,1.388459011163038215e-01,-1.015076166213433773e+00,6.078176708927549576e+00,8.537746878951779639e-01
2.550000000000000266e+00,1.993728143584730383e-01,-1.004675230979726885e+00,6.016222145268729449e+00,1.223973994764756101e+00
2.560000000000000053e+00,2.591688033890836018e-01,-9.905899804271046660e-01,5.932139240007876957e+00,1.590005963453245741e+00
